prompt_idx,group_id,is_outlier,hit,jaccard,span_coverage,candidates_examined,overhead_ms,donor_id
0,14,0,0,0.0000,0.0000,0,0.7094,
1,0,0,0,0.0000,0.0000,0,0.6759,
2,7,1,0,0.0000,0.0000,0,0.6043,
3,8,0,0,0.0000,0.0000,0,0.5860,
4,14,0,1,0.8571,0.2451,1,3.6355,48ce256d0a09407ba2582858b0468b85
5,5,0,0,0.0000,0.0000,0,0.6146,
6,2,0,0,0.0000,0.0000,0,0.5448,
7,9,0,0,0.0000,0.0000,0,0.5441,
8,7,0,0,0.0000,0.0000,0,0.5810,
9,12,0,0,0.0000,0.0000,0,0.6377,
10,9,0,0,0.0000,0.0000,0,0.6158,
11,10,0,0,0.0000,0.0000,0,0.5951,
12,8,0,0,0.0000,0.0000,0,0.5866,
13,4,0,0,0.0000,0.0000,0,0.5571,
14,1,0,0,0.0000,0.0000,0,0.5518,
15,5,0,0,0.0000,0.0000,0,0.5817,
16,17,0,0,0.0000,0.0000,0,0.5851,
17,19,0,0,0.0000,0.0000,0,0.5849,
18,14,0,0,0.0000,0.0000,0,0.6234,
19,8,0,0,0.0000,0.0000,0,0.5956,
20,15,0,0,0.0000,0.0000,0,0.6146,
21,2,0,0,0.0000,0.0000,0,0.5309,
22,8,0,1,0.5271,0.2442,1,3.5544,b24aad426948409ebe011d07426bc648
23,7,0,0,0.0000,0.0000,0,0.5842,
24,18,0,0,0.0000,0.0000,0,0.5873,
25,12,0,0,0.0000,0.0000,0,0.5793,
26,13,0,0,0.0000,0.0000,0,0.5864,
27,8,0,0,0.0000,0.0000,0,0.6015,
28,8,0,1,0.5441,0.2442,3,3.6987,8b70d5c6543f4d98a5fcd920c4c8cf72
29,17,0,1,0.5441,0.2442,1,3.5663,089cbfc2b26b4603b52b72274d4247cc
30,10,1,0,0.0000,0.0000,0,0.7075,
31,18,0,1,0.5441,0.2442,1,3.6517,a722a241578045529741db5f1da1d75c
