workload,hit_idx,span_start_abs,span_start_rel,span_len_tokens
templated_chat,0,13,0.2364,42
templated_chat,1,15,0.2885,37
templated_chat,2,14,0.2373,45
templated_chat,3,17,0.2787,44
templated_chat,4,13,0.2600,37
templated_chat,5,14,0.2500,42
templated_chat,6,16,0.2667,44
templated_chat,7,14,0.2745,37
templated_chat,8,16,0.2424,50
templated_chat,9,14,0.2800,36
templated_chat,10,16,0.2424,50
templated_chat,11,12,0.1846,53
templated_chat,12,12,0.2222,42
templated_chat,13,12,0.2034,47
templated_chat,14,14,0.2414,44
templated_chat,15,11,0.2157,40
templated_chat,16,16,0.2667,37
templated_chat,17,16,0.2623,45
templated_chat,18,16,0.2667,44
templated_chat,19,13,0.2167,47
templated_chat,20,15,0.2542,44
templated_chat,21,13,0.2653,36
templated_chat,22,14,0.2373,37
templated_chat,23,12,0.2034,47
templated_chat,24,15,0.2308,50
templated_chat,25,13,0.2653,36
templated_chat,26,18,0.2903,44
templated_chat,27,12,0.2449,37
templated_chat,28,10,0.2000,40
templated_chat,29,13,0.2653,36
templated_chat,30,10,0.1754,47
templated_chat,31,14,0.2373,45
templated_chat,32,13,0.2600,37
templated_chat,33,14,0.2373,45
templated_chat,34,15,0.2542,44
templated_chat,35,14,0.2373,45
templated_chat,36,9,0.1800,41
templated_chat,37,14,0.2188,50
templated_chat,38,16,0.2623,45
templated_chat,39,14,0.2188,50
templated_chat,40,13,0.2600,37
templated_chat,41,15,0.2500,45
templated_chat,42,14,0.2800,36
templated_chat,43,13,0.2167,47
templated_chat,44,15,0.2542,44
templated_chat,45,14,0.2500,42
templated_chat,46,11,0.2200,39
templated_chat,47,10,0.2041,39
templated_chat,48,15,0.2500,45
templated_chat,49,10,0.1961,41
templated_chat,50,12,0.2449,37
templated_chat,51,0,0.0000,65
templated_chat,52,15,0.2308,50
templated_chat,53,7,0.1273,48
templated_chat,54,15,0.2542,44
templated_chat,55,14,0.2800,36
templated_chat,56,9,0.1837,40
templated_chat,57,13,0.2600,37
templated_chat,58,12,0.2500,36
templated_chat,59,9,0.1875,39
templated_chat,60,12,0.2500,36
templated_chat,61,14,0.2745,37
templated_chat,62,14,0.2800,36
templated_chat,63,13,0.2167,47
templated_chat,64,12,0.1967,49
templated_chat,65,6,0.1224,43
templated_chat,66,13,0.2364,42
templated_chat,67,17,0.2787,44
templated_chat,68,17,0.2742,45
templated_chat,69,14,0.2188,50
templated_chat,70,13,0.2131,48
templated_chat,71,15,0.2500,45
templated_chat,72,13,0.2600,37
templated_chat,73,12,0.2449,37
templated_chat,74,12,0.2449,37
templated_chat,75,15,0.2308,50
templated_chat,76,10,0.1961,41
templated_chat,77,13,0.2600,37
templated_chat,78,12,0.2500,36
templated_chat,79,16,0.2667,44
templated_chat,80,12,0.2500,36
templated_chat,81,14,0.2373,45
templated_chat,82,14,0.2800,36
templated_chat,83,6,0.0923,59
templated_chat,84,13,0.2600,37
templated_chat,85,16,0.2667,44
templated_chat,86,9,0.1875,39
templated_chat,87,12,0.2449,37
templated_chat,88,6,0.1200,37
templated_chat,89,12,0.2500,36
templated_chat,90,15,0.2885,37
templated_chat,91,15,0.2500,45
templated_chat,92,14,0.2373,45
templated_chat,93,15,0.2542,44
templated_chat,94,15,0.2542,44
templated_chat,95,12,0.2500,36
templated_chat,96,12,0.1846,53
templated_chat,97,15,0.2500,45
templated_chat,98,10,0.1961,41
templated_chat,99,15,0.2308,50
templated_chat,100,14,0.2414,44
templated_chat,101,12,0.2034,47
templated_chat,102,17,0.2742,45
templated_chat,103,12,0.2500,36
templated_chat,104,10,0.2041,39
templated_chat,105,13,0.2653,36
